Reading,Time,Reading,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed
TIME:,9:13:34,DATE:,19-03-2022,34.28,40.57,943.45,33.74276,73.10936,12.08
TIME:,9:13:36,DATE:,19-03-2022,34.28,40.77,943.37,33.742683,73.109337,18.72
TIME:,9:13:38,DATE:,19-03-2022,34.29,40.89,943.41,33.742554,73.109314,27.32
TIME:,9:13:40,DATE:,19-03-2022,34.3,40.84,943.45,33.742374,73.109276,34.21
TIME:,9:13:42,DATE:,19-03-2022,34.33,40.75,943.49,33.742184,73.10923,38.13
TIME:,9:13:44,DATE:,19-03-2022,34.34,40.73,943.53,33.741989,73.109192,39.76
TIME:,9:13:46,DATE:,19-03-2022,34.35,40.62,943.69,33.741791,73.109146,38.76
TIME:,9:13:48,DATE:,19-03-2022,34.36,40.68,943.76,33.741604,73.109108,38.74
TIME:,9:13:50,DATE:,19-03-2022,34.38,40.61,943.79,33.741405,73.109062,39.06
TIME:,9:13:52,DATE:,19-03-2022,34.39,40.62,943.87,33.741219,73.109024,36.11
TIME:,9:13:54,DATE:,19-03-2022,34.4,40.54,943.93,33.741032,73.108971,37.28
TIME:,9:13:56,DATE:,19-03-2022,34.42,40.37,943.91,33.740845,73.10894,38.34
TIME:,9:13:58,DATE:,19-03-2022,34.43,40.26,943.99,33.740643,73.108887,38.95
TIME:,9:14:00,DATE:,19-03-2022,34.44,40.23,944.08,33.740479,73.108849,34.6
TIME:,9:14:02,DATE:,19-03-2022,34.46,39.98,944.17,33.740391,73.108833,23.76
TIME:,9:14:04,DATE:,19-03-2022,34.48,39.91,944.11,33.740337,73.108818,15.22
TIME:,9:14:06,DATE:,19-03-2022,34.47,39.8,944.07,33.740269,73.108795,13.95
TIME:,9:14:08,DATE:,19-03-2022,34.48,40.16,944.09,33.740158,73.108757,18.82
TIME:,9:14:10,DATE:,19-03-2022,34.49,40.33,944.09,33.740032,73.108742,24.3
TIME:,9:14:12,DATE:,19-03-2022,34.48,40.28,944.09,33.739883,73.108711,29.87
TIME:,9:14:14,DATE:,19-03-2022,34.44,40.1,944.18,33.739719,73.108673,31.97
TIME:,9:14:16,DATE:,19-03-2022,34.46,40.18,944.24,33.739544,73.108635,34
TIME:,9:14:18,DATE:,19-03-2022,34.5,40.22,944.35,33.739365,73.108604,36.06
TIME:,9:14:20,DATE:,19-03-2022,34.5,40.24,944.45,33.739162,73.108551,39.65
TIME:,9:14:22,DATE:,19-03-2022,34.52,40.19,944.57,33.73893,73.108482,43.39
TIME:,9:14:25,DATE:,19-03-2022,34.53,40.23,944.57,33.738571,73.108383,46.99
TIME:,9:14:27,DATE:,19-03-2022,34.55,40.15,944.57,33.738327,73.10833,48.82
TIME:,9:14:29,DATE:,19-03-2022,34.56,39.96,944.62,33.738071,73.108269,50.32
TIME:,9:14:31,DATE:,19-03-2022,34.58,39.87,944.7,33.737827,73.1082,49.02
TIME:,9:14:33,DATE:,19-03-2022,34.59,39.92,944.79,33.737587,73.108124,47.56
TIME:,9:14:35,DATE:,19-03-2022,34.6,39.92,944.83,33.737358,73.108032,44.8
TIME:,9:14:37,DATE:,19-03-2022,34.6,39.9,944.8,33.737152,73.107948,41.39
TIME:,9:14:39,DATE:,19-03-2022,34.62,39.88,944.82,33.736965,73.10788,39.26
TIME:,9:14:41,DATE:,19-03-2022,34.63,39.74,944.91,33.736797,73.107819,35.52
TIME:,9:14:43,DATE:,19-03-2022,34.64,39.57,945,33.736706,73.107796,24.35
TIME:,9:14:45,DATE:,19-03-2022,34.65,39.45,945.01,33.736622,73.107758,16.32
TIME:,9:14:47,DATE:,19-03-2022,34.66,39.5,945.02,33.736553,73.107727,13.54
TIME:,9:14:49,DATE:,19-03-2022,34.67,39.6,945.03,33.736492,73.107697,13.32
TIME:,9:14:51,DATE:,19-03-2022,34.67,39.66,944.99,33.736404,73.107658,16.98
TIME:,9:14:53,DATE:,19-03-2022,34.65,39.74,945.01,33.736282,73.107613,23.54
TIME:,9:14:55,DATE:,19-03-2022,34.66,39.82,945,33.736141,73.107544,27.74
TIME:,9:14:57,DATE:,19-03-2022,34.62,39.83,945,33.736004,73.107491,28.74
TIME:,9:14:59,DATE:,19-03-2022,34.62,39.9,944.99,33.735874,73.10743,27.72
TIME:,9:15:01,DATE:,19-03-2022,34.63,39.88,945.03,33.735748,73.107391,26.97
TIME:,9:15:03,DATE:,19-03-2022,34.67,39.79,944.96,33.735615,73.107407,28.56
TIME:,9:15:05,DATE:,19-03-2022,34.64,39.9,945.01,33.735466,73.10746,30.13
TIME:,9:15:07,DATE:,19-03-2022,34.59,39.68,944.94,33.735298,73.107582,36.89
TIME:,9:15:09,DATE:,19-03-2022,34.58,39.83,945.01,33.735107,73.107719,42.91
TIME:,9:15:11,DATE:,19-03-2022,34.58,39.93,945.05,33.734909,73.107864,46.49
TIME:,9:15:13,DATE:,19-03-2022,34.57,40.11,945.12,33.734703,73.108017,47.93
TIME:,9:15:15,DATE:,19-03-2022,34.56,40.16,945.16,33.734493,73.108162,48.17
TIME:,9:15:17,DATE:,19-03-2022,34.49,40.17,945.31,33.734291,73.108315,46.69
TIME:,9:15:19,DATE:,19-03-2022,34.47,40.48,945.32,33.734081,73.108467,49.49
TIME:,9:15:21,DATE:,19-03-2022,34.5,40.08,945.43,33.73386,73.108635,52.37
TIME:,9:15:23,DATE:,19-03-2022,34.46,40.84,945.5,33.733627,73.108803,54.04
TIME:,9:15:25,DATE:,19-03-2022,34.43,41.37,945.56,33.733395,73.108978,54.41
TIME:,9:15:27,DATE:,19-03-2022,34.45,41.37,945.58,33.733162,73.109154,54.39
TIME:,9:15:29,DATE:,19-03-2022,34.42,41.58,945.51,33.732933,73.109322,53.69
TIME:,9:15:31,DATE:,19-03-2022,34.47,41.28,945.53,33.732704,73.109489,53.73
TIME:,9:15:33,DATE:,19-03-2022,34.51,41.1,945.47,33.732464,73.109657,55.34
TIME:,9:15:35,DATE:,19-03-2022,34.53,41.08,945.51,33.732224,73.109848,57.56
TIME:,9:15:37,DATE:,19-03-2022,34.53,41.33,945.55,33.731976,73.110031,57.8
TIME:,9:15:39,DATE:,19-03-2022,34.52,41.44,945.62,33.731735,73.110207,56.67
TIME:,9:15:41,DATE:,19-03-2022,34.48,41.85,945.76,33.731491,73.110382,57.1
TIME:,9:15:43,DATE:,19-03-2022,34.5,41.8,945.91,33.731247,73.110565,57.49
TIME:,9:15:45,DATE:,19-03-2022,34.48,41.84,945.93,33.731003,73.110748,56.39
TIME:,9:15:47,DATE:,19-03-2022,34.52,41.75,946,33.730774,73.110916,54.17
TIME:,9:15:49,DATE:,19-03-2022,34.52,41.96,946.05,33.730553,73.111092,52.39
TIME:,9:15:51,DATE:,19-03-2022,34.49,42.07,946.19,33.730335,73.111252,51.36
TIME:,9:15:53,DATE:,19-03-2022,34.52,41.94,946.36,33.730118,73.111412,50.93
TIME:,9:15:55,DATE:,19-03-2022,34.47,42.13,946.56,33.729912,73.111572,48.99
TIME:,9:15:57,DATE:,19-03-2022,34.45,42.25,946.71,33.729729,73.111732,44.15
TIME:,9:15:59,DATE:,19-03-2022,34.48,42.23,946.71,33.729595,73.111832,33.43
TIME:,9:16:01,DATE:,19-03-2022,34.46,42.28,946.74,33.729462,73.1119,29.95
TIME:,9:16:03,DATE:,19-03-2022,34.28,42.58,946.7,33.729332,73.111893,27.47
TIME:,9:16:05,DATE:,19-03-2022,34.28,42.55,946.69,33.72921,73.111832,26.72
TIME:,9:16:07,DATE:,19-03-2022,34.34,42.46,946.66,33.729111,73.111679,29.26
TIME:,9:16:09,DATE:,19-03-2022,34.35,42.47,946.55,33.729042,73.111496,32.72
TIME:,9:16:11,DATE:,19-03-2022,34.38,42.49,946.49,33.728954,73.111305,34.74
TIME:,9:16:13,DATE:,19-03-2022,34.35,42.67,946.36,33.728855,73.111107,37.6
TIME:,9:16:15,DATE:,19-03-2022,34.3,42.8,946.26,33.728752,73.110901,39.32
TIME:,9:16:17,DATE:,19-03-2022,34.33,42.79,946.07,33.728642,73.110687,41.78
TIME:,9:16:19,DATE:,19-03-2022,34.32,42.9,946.02,33.728523,73.110458,44.49
