Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed,altitude,course
12:10:55,11/5/2022,37.58,24.26,942.14,33.645416,72.998138,10.32,547.1,113.15
12:10:57,11/5/2022,37.61,22.2,942.13,33.645409,72.998077,6.8,542.4,123.36
12:10:59,11/5/2022,37.61,23.77,942.14,33.645393,72.998093,5.96,543.5,119.91
12:11:01,11/5/2022,37.58,23.95,942.16,33.645397,72.998062,2.15,543.4,119.91
12:11:03,11/5/2022,37.76,22.84,942.21,33.64539,72.998055,3.61,543.2,119.91
12:11:05,11/5/2022,37.92,21.89,942.19,33.645374,72.99807,2.54,543.3,119.91
12:11:07,11/5/2022,38.15,21.45,942.24,33.645378,72.998062,1.89,541.7,119.91
12:11:09,11/5/2022,38.42,21.14,942.25,33.645382,72.998047,0.57,540.1,119.91
12:11:11,11/5/2022,38.57,19.26,942.21,33.645386,72.998039,0.85,538.5,119.91
12:11:13,11/5/2022,38.78,18.48,942.19,33.645401,72.998032,1.74,535.7,119.91
12:11:15,11/5/2022,38.91,17.5,942.2,33.645393,72.998039,1.72,534.8,119.91
12:11:17,11/5/2022,39.01,17.17,942.2,33.645405,72.998016,6.19,537,42
12:11:19,11/5/2022,39.04,17.73,942.21,33.645382,72.998032,3.41,541.7,42
12:11:21,11/5/2022,39.06,17.99,942.2,33.645397,72.997932,7.54,541.1,334.48
12:11:23,11/5/2022,39.09,18.27,942.2,33.645424,72.99778,15.54,540.6,282.41
12:11:25,11/5/2022,39.17,18.24,942.17,33.645435,72.997665,17.26,541.4,277.26
12:11:27,11/5/2022,39.23,17.91,942.07,33.645462,72.997498,22.52,542.3,280.08
12:11:29,11/5/2022,39.47,17.71,942.09,33.645481,72.997337,23.46,541.9,275.07
12:11:31,11/5/2022,39.69,17.78,942,33.645439,72.997299,15.96,542.7,257.22
12:11:33,11/5/2022,39.94,17.57,941.95,33.64537,72.997261,17.11,540,215.78
12:11:35,11/5/2022,40.17,17.4,941.97,33.64529,72.997215,18.72,538.6,197.41
12:11:37,11/5/2022,40.38,17.17,941.95,33.645195,72.997162,20.54,539,196.75
12:11:39,11/5/2022,40.55,17.06,941.89,33.645096,72.997093,20.72,540.1,203.6
12:11:41,11/5/2022,40.65,16.7,941.81,33.64502,72.996971,21.65,538.4,220.76
12:11:43,11/5/2022,40.83,16.93,941.79,33.644958,72.996872,21.24,538.9,229.29
12:11:45,11/5/2022,41,16.59,941.71,33.644871,72.996796,21.08,540.2,219.93
12:11:47,11/5/2022,41.13,15.58,941.58,33.644791,72.996765,19.15,537.7,205.47
12:11:49,11/5/2022,41.24,15.29,941.58,33.644722,72.996826,18.78,533.7,166.87
12:11:51,11/5/2022,41.27,14.74,941.41,33.644619,72.996887,22.19,533.5,155.9
12:11:53,11/5/2022,41.27,14.6,941.39,33.644493,72.996986,25.52,536.2,151.35
12:11:55,11/5/2022,41.38,14.51,941.35,33.644371,72.99707,26.09,537.6,150.75
12:11:57,11/5/2022,41.5,14.45,941.45,33.644268,72.997154,24.04,538.6,146.53
12:11:59,11/5/2022,41.57,14.49,941.48,33.644238,72.997246,19.45,537.7,127.01
12:12:01,11/5/2022,41.67,14.65,941.52,33.644268,72.997337,18.83,535.4,100.68
12:12:03,11/5/2022,41.76,14.53,941.58,33.644329,72.997498,24.91,535.6,76.82
12:12:05,11/5/2022,41.83,14.55,941.62,33.644394,72.997673,29.48,534.5,67.38
12:12:07,11/5/2022,41.93,14.82,941.59,33.644497,72.997849,32.91,533.7,60.46
12:12:09,11/5/2022,42.03,14.89,941.77,33.644608,72.998032,35.95,533,57.76
12:12:11,11/5/2022,42.13,15.66,941.89,33.644707,72.998222,36.15,532.1,58.59
12:12:13,11/5/2022,42.22,15.4,941.98,33.644791,72.998383,34.63,529.2,61.57
12:12:16,11/5/2022,42.22,14.91,941.92,33.644905,72.998505,33.91,525.7,57.84
12:12:18,11/5/2022,42.19,14.77,941.89,33.644905,72.998505,33.91,525.7,57.84
12:12:20,11/5/2022,42.13,14.27,941.92,33.645157,72.999092,38.48,530.6,57.28
12:12:22,11/5/2022,42.18,14.15,941.82,33.645264,72.999306,38.45,534.7,58.06
12:12:24,11/5/2022,42.26,13.99,941.82,33.64537,72.999504,38.23,534.8,56.39
12:12:26,11/5/2022,42.32,13.79,941.51,33.645477,72.999695,37.91,535,57.43
12:12:28,11/5/2022,42.35,13.66,941.62,33.645573,72.999886,37.47,535.3,58.74
12:12:30,11/5/2022,42.39,13.69,941.6,33.645672,73.000092,37.97,535.7,58.01
12:12:32,11/5/2022,42.43,13.7,941.54,33.645782,73.000298,38.58,537.1,56.86
12:12:34,11/5/2022,42.44,13.66,941.47,33.645893,73.000496,38.78,537.6,57.38
12:12:36,11/5/2022,42.47,13.44,941.53,33.645988,73.000687,35.95,538.7,57.56
12:12:38,11/5/2022,42.48,13.35,941.49,33.646084,73.000862,34.6,539.5,56.62
12:12:40,11/5/2022,42.49,13.41,941.39,33.646164,73.001038,34,540.3,59.06
12:12:42,11/5/2022,42.54,13.69,941.47,33.646244,73.001205,32.6,540.4,58.76
12:12:44,11/5/2022,42.57,13.53,941.41,33.64632,73.001366,31.08,540.8,60.74
12:12:46,11/5/2022,42.6,13.41,941.51,33.646381,73.001495,26.02,540.3,59.37
